iter	Passed	Remaining
0	149	149014
1	150	75006
2	151	50215
3	151	37751
4	152	30248
5	152	25264
6	152	21693
7	153	19019
8	153	16940
9	154	15277
10	154	13920
11	155	12786
12	155	11823
13	156	10998
14	156	10285
15	157	9660
16	157	9104
17	157	8609
18	158	8168
19	158	7773
20	159	7414
21	159	7089
22	159	6791
23	160	6525
24	160	6275
25	161	6044
26	161	5831
27	162	5634
28	162	5448
29	163	5275
30	163	5112
31	163	4957
32	164	4816
33	164	4680
34	165	4552
35	165	4432
36	165	4320
37	166	4216
38	167	4115
39	167	4019
40	167	3927
41	168	3839
42	168	3756
43	169	3675
44	169	3597
45	169	3523
46	170	3452
47	170	3384
48	171	3320
49	171	3257
50	171	3198
51	172	3140
52	172	3085
53	173	3032
54	173	2980
55	173	2930
56	174	2882
57	174	2836
58	175	2792
59	175	2749
60	175	2707
61	176	2666
62	176	2627
63	177	2589
64	177	2552
65	177	2515
66	178	2480
67	178	2446
68	178	2413
69	179	2382
70	179	2352
71	180	2323
72	180	2293
73	181	2265
74	181	2237
75	181	2210
76	182	2183
77	182	2158
78	182	2132
79	183	2108
80	183	2084
81	184	2061
82	184	2036
83	184	2013
84	185	1992
85	185	1972
86	186	1952
87	186	1931
88	186	1911
89	187	1892
90	187	1873
91	187	1854
92	188	1840
93	189	1823
94	189	1806
95	189	1788
96	190	1771
97	190	1755
98	191	1738
99	191	1723
100	191	1707
101	192	1692
102	192	1677
103	193	1663
104	193	1648
105	193	1634
106	194	1620
107	194	1606
108	194	1592
109	195	1579
110	195	1566
111	196	1554
112	196	1541
113	196	1529
114	197	1517
115	197	1505
116	197	1492
117	198	1481
118	198	1470
119	198	1458
120	199	1447
121	199	1436
122	199	1425
123	200	1415
124	200	1404
125	201	1394
126	201	1384
127	201	1374
128	202	1366
129	202	1357
130	203	1348
131	203	1339
132	204	1331
133	204	1323
134	205	1315
135	205	1306
136	206	1299
137	206	1290
138	207	1282
139	207	1274
140	207	1266
141	208	1257
142	208	1249
143	208	1241
144	209	1233
145	209	1225
146	209	1218
147	210	1210
148	210	1203
149	211	1196
150	211	1190
151	212	1183
152	212	1176
153	212	1169
154	213	1162
155	213	1156
156	214	1149
157	214	1143
158	214	1136
159	215	1130
160	215	1123
161	216	1117
162	216	1111
163	216	1105
164	217	1100
165	217	1094
166	218	1088
167	218	1083
168	219	1077
169	219	1072
170	219	1066
171	220	1061
172	220	1056
173	221	1050
174	221	1045
175	222	1039
176	222	1034
177	222	1029
178	223	1023
179	223	1018
180	223	1013
181	224	1008
182	224	1003
183	225	998
184	225	993
185	225	988
186	226	983
187	226	979
188	227	974
189	227	969
190	227	964
191	228	960
192	228	955
193	228	951
194	229	946
195	229	942
196	230	938
197	230	934
198	231	930
199	231	926
200	232	922
201	232	918
202	232	914
203	233	910
204	233	906
205	234	902
206	234	898
207	235	895
208	235	891
209	235	887
210	236	883
211	236	880
212	237	876
213	237	873
214	238	869
215	238	866
216	239	862
217	239	859
218	239	855
219	240	851
220	240	848
221	241	844
222	241	841
223	241	837
224	242	834
225	242	831
226	243	828
227	243	825
228	244	822
229	244	818
230	245	815
231	245	812
232	246	809
233	246	806
234	246	803
235	247	800
236	247	797
237	248	794
238	248	791
239	248	788
240	249	785
241	249	782
242	250	779
243	250	777
244	251	774
245	251	771
246	252	768
247	252	766
248	253	763
249	253	761
250	254	758
251	254	755
252	254	752
253	255	749
254	255	747
255	256	744
256	256	742
257	257	739
258	257	736
259	258	734
260	258	731
261	258	729
262	259	726
263	259	724
264	260	722
265	260	719
266	261	717
267	261	715
268	262	712
269	262	710
270	263	708
271	263	706
272	264	703
273	264	701
274	265	698
275	265	696
276	265	693
277	266	691
278	266	689
279	266	686
280	267	684
281	267	681
282	268	679
283	268	677
284	269	675
285	269	672
286	269	670
287	270	668
288	270	666
289	271	663
290	271	661
291	271	659
292	272	657
293	272	655
294	273	652
295	273	650
296	274	648
297	274	646
298	275	645
299	275	643
300	276	641
301	276	638
